ID,FPS,LOOPTYPE,FRAME,,,
DarkTemplarMove,10,1,11,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\DarkTemplar.png,0,0,57,62,0,
graphics\Enemy\DarkTemplar.png,0,62,57,62,0,
graphics\Enemy\DarkTemplar.png,0,124,57,62,0,
graphics\Enemy\DarkTemplar.png,0,186,57,62,0,
graphics\Enemy\DarkTemplar.png,0,248,57,62,0,
graphics\Enemy\DarkTemplar.png,0,310,57,62,0,
graphics\Enemy\DarkTemplar.png,0,372,57,62,0,
graphics\Enemy\DarkTemplar.png,0,434,57,62,0,
graphics\Enemy\DarkTemplar.png,0,496,57,62,0,
graphics\Enemy\DarkTemplar.png,0,558,57,62,0,
graphics\Enemy\DarkTemplar.png,0,620,57,62,0,
,,,,,,
,,,,,,
graphics\Enemy\DarkTemplar.png,57,0,57,62,1,
graphics\Enemy\DarkTemplar.png,57,62,57,62,1,
graphics\Enemy\DarkTemplar.png,57,124,57,62,1,
graphics\Enemy\DarkTemplar.png,57,186,57,62,1,
graphics\Enemy\DarkTemplar.png,57,248,57,62,1,
graphics\Enemy\DarkTemplar.png,57,310,57,62,1,
graphics\Enemy\DarkTemplar.png,57,372,57,62,1,
graphics\Enemy\DarkTemplar.png,57,434,57,62,1,
graphics\Enemy\DarkTemplar.png,57,496,57,62,1,
graphics\Enemy\DarkTemplar.png,57,558,57,62,1,
graphics\Enemy\DarkTemplar.png,57,620,57,62,1,
,,,,,,
,,,,,,
graphics\Enemy\DarkTemplar.png,114,0,57,62,2,
graphics\Enemy\DarkTemplar.png,114,62,57,62,2,
graphics\Enemy\DarkTemplar.png,114,124,57,62,2,
graphics\Enemy\DarkTemplar.png,114,186,57,62,2,
graphics\Enemy\DarkTemplar.png,114,248,57,62,2,
graphics\Enemy\DarkTemplar.png,114,310,57,62,2,
graphics\Enemy\DarkTemplar.png,114,372,57,62,2,
graphics\Enemy\DarkTemplar.png,114,434,57,62,2,
graphics\Enemy\DarkTemplar.png,114,496,57,62,2,
graphics\Enemy\DarkTemplar.png,114,558,57,62,2,
graphics\Enemy\DarkTemplar.png,114,620,57,62,2,
,,,,,,
,,,,,,
graphics\Enemy\DarkTemplar.png,171,0,57,62,3,
graphics\Enemy\DarkTemplar.png,171,62,57,62,3,
graphics\Enemy\DarkTemplar.png,171,124,57,62,3,
graphics\Enemy\DarkTemplar.png,171,186,57,62,3,
graphics\Enemy\DarkTemplar.png,171,248,57,62,3,
graphics\Enemy\DarkTemplar.png,171,310,57,62,3,
graphics\Enemy\DarkTemplar.png,171,372,57,62,3,
graphics\Enemy\DarkTemplar.png,171,434,57,62,3,
graphics\Enemy\DarkTemplar.png,171,496,57,62,3,
graphics\Enemy\DarkTemplar.png,171,558,57,62,3,
graphics\Enemy\DarkTemplar.png,171,620,57,62,3,
,,,,,,
,,,,,,
graphics\Enemy\DarkTemplar.png,228,0,57,62,4,
graphics\Enemy\DarkTemplar.png,228,62,57,62,4,
graphics\Enemy\DarkTemplar.png,228,124,57,62,4,
graphics\Enemy\DarkTemplar.png,228,186,57,62,4,
graphics\Enemy\DarkTemplar.png,228,248,57,62,4,
graphics\Enemy\DarkTemplar.png,228,310,57,62,4,
graphics\Enemy\DarkTemplar.png,228,372,57,62,4,
graphics\Enemy\DarkTemplar.png,228,434,57,62,4,
graphics\Enemy\DarkTemplar.png,228,496,57,62,4,
graphics\Enemy\DarkTemplar.png,228,558,57,62,4,
graphics\Enemy\DarkTemplar.png,228,620,57,62,4,
,,,,,,
,,,,,,
graphics\Enemy\DarkTemplar.png,285,0,57,62,5,
graphics\Enemy\DarkTemplar.png,285,62,57,62,5,
graphics\Enemy\DarkTemplar.png,285,124,57,62,5,
graphics\Enemy\DarkTemplar.png,285,186,57,62,5,
graphics\Enemy\DarkTemplar.png,285,248,57,62,5,
