ID,FPS,LOOPTYPE,FRAME,,,
DefilerMove,8,1,8,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Defiler.png,0,0,72,62,0,
graphics\Enemy\Defiler.png,0,62,72,62,0,
graphics\Enemy\Defiler.png,0,124,72,62,0,
graphics\Enemy\Defiler.png,0,186,72,62,0,
graphics\Enemy\Defiler.png,0,248,72,62,0,
graphics\Enemy\Defiler.png,0,310,72,62,0,
graphics\Enemy\Defiler.png,0,372,72,62,0,
graphics\Enemy\Defiler.png,0,434,72,62,0,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,72,0,72,62,1,
graphics\Enemy\Defiler.png,72,62,72,62,1,
graphics\Enemy\Defiler.png,72,124,72,62,1,
graphics\Enemy\Defiler.png,72,186,72,62,1,
graphics\Enemy\Defiler.png,72,248,72,62,1,
graphics\Enemy\Defiler.png,72,310,72,62,1,
graphics\Enemy\Defiler.png,72,372,72,62,1,
graphics\Enemy\Defiler.png,72,434,72,62,1,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,144,0,72,62,2,
graphics\Enemy\Defiler.png,144,62,72,62,2,
graphics\Enemy\Defiler.png,144,124,72,62,2,
graphics\Enemy\Defiler.png,144,186,72,62,2,
graphics\Enemy\Defiler.png,144,248,72,62,2,
graphics\Enemy\Defiler.png,144,310,72,62,2,
graphics\Enemy\Defiler.png,144,372,72,62,2,
graphics\Enemy\Defiler.png,144,434,72,62,2,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,216,0,72,62,3,
graphics\Enemy\Defiler.png,216,62,72,62,3,
graphics\Enemy\Defiler.png,216,124,72,62,3,
graphics\Enemy\Defiler.png,216,186,72,62,3,
graphics\Enemy\Defiler.png,216,248,72,62,3,
graphics\Enemy\Defiler.png,216,310,72,62,3,
graphics\Enemy\Defiler.png,216,372,72,62,3,
graphics\Enemy\Defiler.png,216,434,72,62,3,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,288,0,72,62,4,
graphics\Enemy\Defiler.png,288,62,72,62,4,
graphics\Enemy\Defiler.png,288,124,72,62,4,
graphics\Enemy\Defiler.png,288,186,72,62,4,
graphics\Enemy\Defiler.png,288,248,72,62,4,
graphics\Enemy\Defiler.png,288,310,72,62,4,
graphics\Enemy\Defiler.png,288,372,72,62,4,
graphics\Enemy\Defiler.png,288,434,72,62,4,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,360,0,72,62,5,
graphics\Enemy\Defiler.png,360,62,72,62,5,
graphics\Enemy\Defiler.png,360,124,72,62,5,
graphics\Enemy\Defiler.png,360,186,72,62,5,
graphics\Enemy\Defiler.png,360,248,72,62,5,
graphics\Enemy\Defiler.png,360,310,72,62,5,
graphics\Enemy\Defiler.png,360,372,72,62,5,
graphics\Enemy\Defiler.png,360,434,72,62,5,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,432,0,72,62,6,
graphics\Enemy\Defiler.png,432,62,72,62,6,
graphics\Enemy\Defiler.png,432,124,72,62,6,
graphics\Enemy\Defiler.png,432,186,72,62,6,
graphics\Enemy\Defiler.png,432,248,72,62,6,
graphics\Enemy\Defiler.png,432,310,72,62,6,
graphics\Enemy\Defiler.png,432,372,72,62,6,
graphics\Enemy\Defiler.png,432,434,72,62,6,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,504,0,72,62,7,
graphics\Enemy\Defiler.png,504,62,72,62,7,
graphics\Enemy\Defiler.png,504,124,72,62,7,
graphics\Enemy\Defiler.png,504,186,72,62,7,
graphics\Enemy\Defiler.png,504,248,72,62,7,
graphics\Enemy\Defiler.png,504,310,72,62,7,
graphics\Enemy\Defiler.png,504,372,72,62,7,
graphics\Enemy\Defiler.png,504,434,72,62,7,
,,,,,,
,,,,,,
graphics\Enemy\Defiler.png,576,0,72,62,8,
graphics\Enemy\Defiler.png,576,62,72,62,8,
graphics\Enemy\Defiler.png,576,124,72,62,8,
graphics\Enemy\Defiler.png,576,186,72,62,8,
graphics\Enemy\Defiler.png,576,248,72,62,8,
graphics\Enemy\Defiler.png,576,310,72,62,8,
graphics\Enemy\Defiler.png,576,372,72,62,8,
graphics\Enemy\Defiler.png,576,434,72,62,8,
