ID,FPS,LOOPTYPE,FRAME,,,
DevourerMove,10,1,10,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Devourer.png,0,0,73,86,0,
graphics\Enemy\Devourer.png,0,86,73,86,0,
graphics\Enemy\Devourer.png,0,172,73,86,0,
graphics\Enemy\Devourer.png,0,258,73,86,0,
graphics\Enemy\Devourer.png,0,344,73,86,0,
graphics\Enemy\Devourer.png,0,430,73,86,0,
graphics\Enemy\Devourer.png,0,516,73,86,0,
graphics\Enemy\Devourer.png,0,602,73,86,0,
graphics\Enemy\Devourer.png,0,688,73,86,0,
graphics\Enemy\Devourer.png,0,774,73,86,0,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,73,0,73,86,1,
graphics\Enemy\Devourer.png,73,86,73,86,1,
graphics\Enemy\Devourer.png,73,172,73,86,1,
graphics\Enemy\Devourer.png,73,258,73,86,1,
graphics\Enemy\Devourer.png,73,344,73,86,1,
graphics\Enemy\Devourer.png,73,430,73,86,1,
graphics\Enemy\Devourer.png,73,516,73,86,1,
graphics\Enemy\Devourer.png,73,602,73,86,1,
graphics\Enemy\Devourer.png,73,688,73,86,1,
graphics\Enemy\Devourer.png,73,774,73,86,1,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,146,0,73,86,2,
graphics\Enemy\Devourer.png,146,86,73,86,2,
graphics\Enemy\Devourer.png,146,172,73,86,2,
graphics\Enemy\Devourer.png,146,258,73,86,2,
graphics\Enemy\Devourer.png,146,344,73,86,2,
graphics\Enemy\Devourer.png,146,430,73,86,2,
graphics\Enemy\Devourer.png,146,516,73,86,2,
graphics\Enemy\Devourer.png,146,602,73,86,2,
graphics\Enemy\Devourer.png,146,688,73,86,2,
graphics\Enemy\Devourer.png,146,774,73,86,2,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,219,0,73,86,3,
graphics\Enemy\Devourer.png,219,86,73,86,3,
graphics\Enemy\Devourer.png,219,172,73,86,3,
graphics\Enemy\Devourer.png,219,258,73,86,3,
graphics\Enemy\Devourer.png,219,344,73,86,3,
graphics\Enemy\Devourer.png,219,430,73,86,3,
graphics\Enemy\Devourer.png,219,516,73,86,3,
graphics\Enemy\Devourer.png,219,602,73,86,3,
graphics\Enemy\Devourer.png,219,688,73,86,3,
graphics\Enemy\Devourer.png,219,774,73,86,3,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,292,0,73,86,4,
graphics\Enemy\Devourer.png,292,86,73,86,4,
graphics\Enemy\Devourer.png,292,172,73,86,4,
graphics\Enemy\Devourer.png,292,258,73,86,4,
graphics\Enemy\Devourer.png,292,344,73,86,4,
graphics\Enemy\Devourer.png,292,430,73,86,4,
graphics\Enemy\Devourer.png,292,516,73,86,4,
graphics\Enemy\Devourer.png,292,602,73,86,4,
graphics\Enemy\Devourer.png,292,688,73,86,4,
graphics\Enemy\Devourer.png,292,774,73,86,4,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,365,0,73,86,5,
graphics\Enemy\Devourer.png,365,86,73,86,5,
graphics\Enemy\Devourer.png,365,172,73,86,5,
graphics\Enemy\Devourer.png,365,258,73,86,5,
graphics\Enemy\Devourer.png,365,344,73,86,5,
graphics\Enemy\Devourer.png,365,430,73,86,5,
graphics\Enemy\Devourer.png,365,516,73,86,5,
graphics\Enemy\Devourer.png,365,602,73,86,5,
graphics\Enemy\Devourer.png,365,688,73,86,5,
graphics\Enemy\Devourer.png,365,774,73,86,5,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,438,0,73,86,6,
graphics\Enemy\Devourer.png,438,86,73,86,6,
graphics\Enemy\Devourer.png,438,172,73,86,6,
graphics\Enemy\Devourer.png,438,258,73,86,6,
graphics\Enemy\Devourer.png,438,344,73,86,6,
graphics\Enemy\Devourer.png,438,430,73,86,6,
graphics\Enemy\Devourer.png,438,516,73,86,6,
graphics\Enemy\Devourer.png,438,602,73,86,6,
graphics\Enemy\Devourer.png,438,688,73,86,6,
graphics\Enemy\Devourer.png,438,774,73,86,6,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,511,0,73,86,7,
graphics\Enemy\Devourer.png,511,86,73,86,7,
graphics\Enemy\Devourer.png,511,172,73,86,7,
graphics\Enemy\Devourer.png,511,258,73,86,7,
graphics\Enemy\Devourer.png,511,344,73,86,7,
graphics\Enemy\Devourer.png,511,430,73,86,7,
graphics\Enemy\Devourer.png,511,516,73,86,7,
graphics\Enemy\Devourer.png,511,602,73,86,7,
graphics\Enemy\Devourer.png,511,688,73,86,7,
graphics\Enemy\Devourer.png,511,774,73,86,7,
,,,,,,
,,,,,,
graphics\Enemy\Devourer.png,584,0,73,86,8,
graphics\Enemy\Devourer.png,584,86,73,86,8,
graphics\Enemy\Devourer.png,584,172,73,86,8,
graphics\Enemy\Devourer.png,584,258,73,86,8,
graphics\Enemy\Devourer.png,584,344,73,86,8,
graphics\Enemy\Devourer.png,584,430,73,86,8,
graphics\Enemy\Devourer.png,584,516,73,86,8,
graphics\Enemy\Devourer.png,584,602,73,86,8,
graphics\Enemy\Devourer.png,584,688,73,86,8,
graphics\Enemy\Devourer.png,584,774,73,86,8,
