ID,FPS,LOOPTYPE,FRAME,,,
DragoonMove,10,1,9,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Dragoon_Move.png,0,0,67,65,0,
graphics\Dragoon_Move.png,0,65,67,65,0,
graphics\Dragoon_Move.png,0,130,67,65,0,
graphics\Dragoon_Move.png,0,195,67,65,0,
graphics\Dragoon_Move.png,0,260,67,65,0,
graphics\Dragoon_Move.png,0,325,67,65,0,
graphics\Dragoon_Move.png,0,390,67,65,0,
graphics\Dragoon_Move.png,0,455,67,65,0,
graphics\Dragoon_Move.png,0,520,67,65,0,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,1,
graphics\Dragoon_Move.png,0,65,67,65,1,
graphics\Dragoon_Move.png,0,130,67,65,1,
graphics\Dragoon_Move.png,0,195,67,65,1,
graphics\Dragoon_Move.png,0,260,67,65,1,
graphics\Dragoon_Move.png,0,325,67,65,1,
graphics\Dragoon_Move.png,0,390,67,65,1,
graphics\Dragoon_Move.png,0,455,67,65,1,
graphics\Dragoon_Move.png,0,520,67,65,1,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,2,
graphics\Dragoon_Move.png,0,65,67,65,2,
graphics\Dragoon_Move.png,0,130,67,65,2,
graphics\Dragoon_Move.png,0,195,67,65,2,
graphics\Dragoon_Move.png,0,260,67,65,2,
graphics\Dragoon_Move.png,0,325,67,65,2,
graphics\Dragoon_Move.png,0,390,67,65,2,
graphics\Dragoon_Move.png,0,455,67,65,2,
graphics\Dragoon_Move.png,0,520,67,65,2,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,3,
graphics\Dragoon_Move.png,0,65,67,65,3,
graphics\Dragoon_Move.png,0,130,67,65,3,
graphics\Dragoon_Move.png,0,195,67,65,3,
graphics\Dragoon_Move.png,0,260,67,65,3,
graphics\Dragoon_Move.png,0,325,67,65,3,
graphics\Dragoon_Move.png,0,390,67,65,3,
graphics\Dragoon_Move.png,0,455,67,65,3,
graphics\Dragoon_Move.png,0,520,67,65,3,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,4,
graphics\Dragoon_Move.png,0,65,67,65,4,
graphics\Dragoon_Move.png,0,130,67,65,4,
graphics\Dragoon_Move.png,0,195,67,65,4,
graphics\Dragoon_Move.png,0,260,67,65,4,
graphics\Dragoon_Move.png,0,325,67,65,4,
graphics\Dragoon_Move.png,0,390,67,65,4,
graphics\Dragoon_Move.png,0,455,67,65,4,
graphics\Dragoon_Move.png,0,520,67,65,4,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,5,
graphics\Dragoon_Move.png,0,65,67,65,5,
graphics\Dragoon_Move.png,0,130,67,65,5,
graphics\Dragoon_Move.png,0,195,67,65,5,
graphics\Dragoon_Move.png,0,260,67,65,5,
graphics\Dragoon_Move.png,0,325,67,65,5,
graphics\Dragoon_Move.png,0,390,67,65,5,
graphics\Dragoon_Move.png,0,455,67,65,5,
graphics\Dragoon_Move.png,0,520,67,65,5,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,6,
graphics\Dragoon_Move.png,0,65,67,65,6,
graphics\Dragoon_Move.png,0,130,67,65,6,
graphics\Dragoon_Move.png,0,195,67,65,6,
graphics\Dragoon_Move.png,0,260,67,65,6,
graphics\Dragoon_Move.png,0,325,67,65,6,
graphics\Dragoon_Move.png,0,390,67,65,6,
graphics\Dragoon_Move.png,0,455,67,65,6,
graphics\Dragoon_Move.png,0,520,67,65,6,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,7,
graphics\Dragoon_Move.png,0,65,67,65,7,
graphics\Dragoon_Move.png,0,130,67,65,7,
graphics\Dragoon_Move.png,0,195,67,65,7,
graphics\Dragoon_Move.png,0,260,67,65,7,
graphics\Dragoon_Move.png,0,325,67,65,7,
graphics\Dragoon_Move.png,0,390,67,65,7,
graphics\Dragoon_Move.png,0,455,67,65,7,
graphics\Dragoon_Move.png,0,520,67,65,7,
,,,,,,
,,,,,,
graphics\Dragoon_Move.png,0,0,67,65,8,
graphics\Dragoon_Move.png,0,65,67,65,8,
graphics\Dragoon_Move.png,0,130,67,65,8,
graphics\Dragoon_Move.png,0,195,67,65,8,
graphics\Dragoon_Move.png,0,260,67,65,8,
graphics\Dragoon_Move.png,0,325,67,65,8,
graphics\Dragoon_Move.png,0,390,67,65,8,
graphics\Dragoon_Move.png,0,455,67,65,8,
graphics\Dragoon_Move.png,0,520,67,65,8,
