ID,FPS,LOOPTYPE,FRAME,,,
GhostMove,10,1,9,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Ghost.png,0,0,42,38,0,
graphics\Ghost.png,0,38,42,38,0,
graphics\Ghost.png,0,76,42,38,0,
graphics\Ghost.png,0,114,42,38,0,
graphics\Ghost.png,0,152,42,38,0,
graphics\Ghost.png,0,190,42,38,0,
graphics\Ghost.png,0,228,42,38,0,
graphics\Ghost.png,0,266,42,38,0,
graphics\Ghost.png,0,304,42,38,0,
,,,,,,
,,,,,,
graphics\Ghost.png,42,0,42,38,1,
graphics\Ghost.png,42,38,42,38,1,
graphics\Ghost.png,42,76,42,38,1,
graphics\Ghost.png,42,114,42,38,1,
graphics\Ghost.png,42,152,42,38,1,
graphics\Ghost.png,42,190,42,38,1,
graphics\Ghost.png,42,228,42,38,1,
graphics\Ghost.png,42,266,42,38,1,
graphics\Ghost.png,42,304,42,38,1,
,,,,,,
,,,,,,
graphics\Ghost.png,84,0,42,38,2,
graphics\Ghost.png,84,38,42,38,2,
graphics\Ghost.png,84,76,42,38,2,
graphics\Ghost.png,84,114,42,38,2,
graphics\Ghost.png,84,152,42,38,2,
graphics\Ghost.png,84,190,42,38,2,
graphics\Ghost.png,84,228,42,38,2,
graphics\Ghost.png,84,266,42,38,2,
graphics\Ghost.png,84,304,42,38,2,
,,,,,,
,,,,,,
graphics\Ghost.png,126,0,42,38,3,
graphics\Ghost.png,126,38,42,38,3,
graphics\Ghost.png,126,76,42,38,3,
graphics\Ghost.png,126,114,42,38,3,
graphics\Ghost.png,126,152,42,38,3,
graphics\Ghost.png,126,190,42,38,3,
graphics\Ghost.png,126,228,42,38,3,
graphics\Ghost.png,126,266,42,38,3,
graphics\Ghost.png,126,304,42,38,3,
,,,,,,
,,,,,,
graphics\Ghost.png,168,0,42,38,4,
graphics\Ghost.png,168,38,42,38,4,
graphics\Ghost.png,168,76,42,38,4,
graphics\Ghost.png,168,114,42,38,4,
graphics\Ghost.png,168,152,42,38,4,
graphics\Ghost.png,168,190,42,38,4,
graphics\Ghost.png,168,228,42,38,4,
graphics\Ghost.png,168,266,42,38,4,
graphics\Ghost.png,168,304,42,38,4,
,,,,,,
,,,,,,
graphics\Ghost.png,210,0,42,38,5,
graphics\Ghost.png,210,38,42,38,5,
graphics\Ghost.png,210,76,42,38,5,
graphics\Ghost.png,210,114,42,38,5,
graphics\Ghost.png,210,152,42,38,5,
graphics\Ghost.png,210,190,42,38,5,
graphics\Ghost.png,210,228,42,38,5,
graphics\Ghost.png,210,266,42,38,5,
graphics\Ghost.png,210,304,42,38,5,
,,,,,,
,,,,,,
graphics\Ghost.png,252,0,42,38,6,
graphics\Ghost.png,252,38,42,38,6,
graphics\Ghost.png,252,76,42,38,6,
graphics\Ghost.png,252,114,42,38,6,
graphics\Ghost.png,252,152,42,38,6,
graphics\Ghost.png,252,190,42,38,6,
graphics\Ghost.png,252,228,42,38,6,
graphics\Ghost.png,252,266,42,38,6,
graphics\Ghost.png,252,304,42,38,6,
,,,,,,
,,,,,,
graphics\Ghost.png,294,0,42,38,7,
graphics\Ghost.png,294,38,42,38,7,
graphics\Ghost.png,294,76,42,38,7,
graphics\Ghost.png,294,114,42,38,7,
graphics\Ghost.png,294,152,42,38,7,
graphics\Ghost.png,294,190,42,38,7,
graphics\Ghost.png,294,228,42,38,7,
graphics\Ghost.png,294,266,42,38,7,
graphics\Ghost.png,294,304,42,38,7,
,,,,,,
,,,,,,
graphics\Ghost.png,336,0,42,38,8,
graphics\Ghost.png,336,38,42,38,8,
graphics\Ghost.png,336,76,42,38,8,
graphics\Ghost.png,336,114,42,38,8,
graphics\Ghost.png,336,152,42,38,8,
graphics\Ghost.png,336,190,42,38,8,
graphics\Ghost.png,336,228,42,38,8,
graphics\Ghost.png,336,266,42,38,8,
graphics\Ghost.png,336,304,42,38,8,
