ID,FPS,LOOPTYPE,FRAME,,,
GhostAttack,4,1,4,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Ghost_Attack.png,0,0,42,38,0,
graphics\Ghost_Attack.png,0,38,42,38,0,
graphics\Ghost_Attack.png,0,76,42,38,0,
graphics\Ghost_Attack.png,0,114,42,38,0,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,42,0,42,38,1,
graphics\Ghost_Attack.png,42,38,42,38,1,
graphics\Ghost_Attack.png,42,76,42,38,1,
graphics\Ghost_Attack.png,42,114,42,38,1,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,84,0,42,38,2,
graphics\Ghost_Attack.png,84,38,42,38,2,
graphics\Ghost_Attack.png,84,76,42,38,2,
graphics\Ghost_Attack.png,84,114,42,38,2,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,126,0,42,38,3,
graphics\Ghost_Attack.png,126,38,42,38,3,
graphics\Ghost_Attack.png,126,76,42,38,3,
graphics\Ghost_Attack.png,126,114,42,38,3,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,168,0,42,38,4,
graphics\Ghost_Attack.png,168,38,42,38,4,
graphics\Ghost_Attack.png,168,76,42,38,4,
graphics\Ghost_Attack.png,168,114,42,38,4,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,210,0,42,38,5,
graphics\Ghost_Attack.png,210,38,42,38,5,
graphics\Ghost_Attack.png,210,76,42,38,5,
graphics\Ghost_Attack.png,210,114,42,38,5,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,252,0,42,38,6,
graphics\Ghost_Attack.png,252,38,42,38,6,
graphics\Ghost_Attack.png,252,76,42,38,6,
graphics\Ghost_Attack.png,252,114,42,38,6,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,294,0,42,38,7,
graphics\Ghost_Attack.png,294,38,42,38,7,
graphics\Ghost_Attack.png,294,76,42,38,7,
graphics\Ghost_Attack.png,294,114,42,38,7,
,,,,,,
,,,,,,
graphics\Ghost_Attack.png,336,0,42,38,8,
graphics\Ghost_Attack.png,336,38,42,38,8,
graphics\Ghost_Attack.png,336,76,42,38,8,
graphics\Ghost_Attack.png,336,114,42,38,8,
