ID,FPS,LOOPTYPE,FRAME,,,
GhostProjectile,20,1,10,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\GhostProjectile.png,0,0,38,37,-858993460,
graphics\GhostProjectile.png,38,0,38,37,-858993460,
graphics\GhostProjectile.png,76,0,38,37,-858993460,
graphics\GhostProjectile.png,114,0,38,37,-858993460,
graphics\GhostProjectile.png,152,0,38,37,-858993460,
graphics\GhostProjectile.png,190,0,38,37,-858993460,
graphics\GhostProjectile.png,228,0,38,37,-858993460,
graphics\GhostProjectile.png,266,0,38,37,-858993460,
graphics\GhostProjectile.png,304,0,38,37,-858993460,
graphics\GhostProjectile.png,342,0,38,37,-858993460,
