ID,FPS,LOOPTYPE,FRAME,,,
GuardianMove,7,1,7,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Guardian.png,0,0,81,74,0,
graphics\Enemy\Guardian.png,0,74,81,74,0,
graphics\Enemy\Guardian.png,0,148,81,74,0,
graphics\Enemy\Guardian.png,0,222,81,74,0,
graphics\Enemy\Guardian.png,0,296,81,74,0,
graphics\Enemy\Guardian.png,0,370,81,74,0,
graphics\Enemy\Guardian.png,0,444,81,74,0,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,81,0,81,74,1,
graphics\Enemy\Guardian.png,81,74,81,74,1,
graphics\Enemy\Guardian.png,81,148,81,74,1,
graphics\Enemy\Guardian.png,81,222,81,74,1,
graphics\Enemy\Guardian.png,81,296,81,74,1,
graphics\Enemy\Guardian.png,81,370,81,74,1,
graphics\Enemy\Guardian.png,81,444,81,74,1,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,162,0,81,74,2,
graphics\Enemy\Guardian.png,162,74,81,74,2,
graphics\Enemy\Guardian.png,162,148,81,74,2,
graphics\Enemy\Guardian.png,162,222,81,74,2,
graphics\Enemy\Guardian.png,162,296,81,74,2,
graphics\Enemy\Guardian.png,162,370,81,74,2,
graphics\Enemy\Guardian.png,162,444,81,74,2,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,243,0,81,74,3,
graphics\Enemy\Guardian.png,243,74,81,74,3,
graphics\Enemy\Guardian.png,243,148,81,74,3,
graphics\Enemy\Guardian.png,243,222,81,74,3,
graphics\Enemy\Guardian.png,243,296,81,74,3,
graphics\Enemy\Guardian.png,243,370,81,74,3,
graphics\Enemy\Guardian.png,243,444,81,74,3,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,324,0,81,74,4,
graphics\Enemy\Guardian.png,324,74,81,74,4,
graphics\Enemy\Guardian.png,324,148,81,74,4,
graphics\Enemy\Guardian.png,324,222,81,74,4,
graphics\Enemy\Guardian.png,324,296,81,74,4,
graphics\Enemy\Guardian.png,324,370,81,74,4,
graphics\Enemy\Guardian.png,324,444,81,74,4,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,405,0,81,74,5,
graphics\Enemy\Guardian.png,405,74,81,74,5,
graphics\Enemy\Guardian.png,405,148,81,74,5,
graphics\Enemy\Guardian.png,405,222,81,74,5,
graphics\Enemy\Guardian.png,405,296,81,74,5,
graphics\Enemy\Guardian.png,405,370,81,74,5,
graphics\Enemy\Guardian.png,405,444,81,74,5,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,486,0,81,74,6,
graphics\Enemy\Guardian.png,486,74,81,74,6,
graphics\Enemy\Guardian.png,486,148,81,74,6,
graphics\Enemy\Guardian.png,486,222,81,74,6,
graphics\Enemy\Guardian.png,486,296,81,74,6,
graphics\Enemy\Guardian.png,486,370,81,74,6,
graphics\Enemy\Guardian.png,486,444,81,74,6,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,567,0,81,74,7,
graphics\Enemy\Guardian.png,567,74,81,74,7,
graphics\Enemy\Guardian.png,567,148,81,74,7,
graphics\Enemy\Guardian.png,567,222,81,74,7,
graphics\Enemy\Guardian.png,567,296,81,74,7,
graphics\Enemy\Guardian.png,567,370,81,74,7,
graphics\Enemy\Guardian.png,567,444,81,74,7,
,,,,,,
,,,,,,
graphics\Enemy\Guardian.png,648,0,81,74,8,
graphics\Enemy\Guardian.png,648,74,81,74,8,
graphics\Enemy\Guardian.png,648,148,81,74,8,
graphics\Enemy\Guardian.png,648,222,81,74,8,
graphics\Enemy\Guardian.png,648,296,81,74,8,
graphics\Enemy\Guardian.png,648,370,81,74,8,
graphics\Enemy\Guardian.png,648,444,81,74,8,
