ID,FPS,LOOPTYPE,FRAME,,,
HydraliskProjectile,10,1,7,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\HydraliskProjectile.png,0,0,89,125,0,
graphics\HydraliskProjectile.png,0,125,89,125,0,
graphics\HydraliskProjectile.png,0,250,89,125,0,
graphics\HydraliskProjectile.png,0,375,89,125,0,
graphics\HydraliskProjectile.png,0,500,89,125,0,
graphics\HydraliskProjectile.png,0,625,89,125,0,
graphics\HydraliskProjectile.png,0,750,89,125,0,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,89,0,89,125,1,
graphics\HydraliskProjectile.png,89,125,89,125,1,
graphics\HydraliskProjectile.png,89,250,89,125,1,
graphics\HydraliskProjectile.png,89,375,89,125,1,
graphics\HydraliskProjectile.png,89,500,89,125,1,
graphics\HydraliskProjectile.png,89,625,89,125,1,
graphics\HydraliskProjectile.png,89,750,89,125,1,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,178,0,89,125,2,
graphics\HydraliskProjectile.png,178,125,89,125,2,
graphics\HydraliskProjectile.png,178,250,89,125,2,
graphics\HydraliskProjectile.png,178,375,89,125,2,
graphics\HydraliskProjectile.png,178,500,89,125,2,
graphics\HydraliskProjectile.png,178,625,89,125,2,
graphics\HydraliskProjectile.png,178,750,89,125,2,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,267,0,89,125,3,
graphics\HydraliskProjectile.png,267,125,89,125,3,
graphics\HydraliskProjectile.png,267,250,89,125,3,
graphics\HydraliskProjectile.png,267,375,89,125,3,
graphics\HydraliskProjectile.png,267,500,89,125,3,
graphics\HydraliskProjectile.png,267,625,89,125,3,
graphics\HydraliskProjectile.png,267,750,89,125,3,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,356,0,89,125,4,
graphics\HydraliskProjectile.png,356,125,89,125,4,
graphics\HydraliskProjectile.png,356,250,89,125,4,
graphics\HydraliskProjectile.png,356,375,89,125,4,
graphics\HydraliskProjectile.png,356,500,89,125,4,
graphics\HydraliskProjectile.png,356,625,89,125,4,
graphics\HydraliskProjectile.png,356,750,89,125,4,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,445,0,89,125,5,
graphics\HydraliskProjectile.png,445,125,89,125,5,
graphics\HydraliskProjectile.png,445,250,89,125,5,
graphics\HydraliskProjectile.png,445,375,89,125,5,
graphics\HydraliskProjectile.png,445,500,89,125,5,
graphics\HydraliskProjectile.png,445,625,89,125,5,
graphics\HydraliskProjectile.png,445,750,89,125,5,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,534,0,89,125,6,
graphics\HydraliskProjectile.png,534,125,89,125,6,
graphics\HydraliskProjectile.png,534,250,89,125,6,
graphics\HydraliskProjectile.png,534,375,89,125,6,
graphics\HydraliskProjectile.png,534,500,89,125,6,
graphics\HydraliskProjectile.png,534,625,89,125,6,
graphics\HydraliskProjectile.png,534,750,89,125,6,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,623,0,89,125,7,
graphics\HydraliskProjectile.png,623,125,89,125,7,
graphics\HydraliskProjectile.png,623,250,89,125,7,
graphics\HydraliskProjectile.png,623,375,89,125,7,
graphics\HydraliskProjectile.png,623,500,89,125,7,
graphics\HydraliskProjectile.png,623,625,89,125,7,
graphics\HydraliskProjectile.png,623,750,89,125,7,
,,,,,,
,,,,,,
graphics\HydraliskProjectile.png,712,0,89,125,8,
graphics\HydraliskProjectile.png,712,125,89,125,8,
graphics\HydraliskProjectile.png,712,250,89,125,8,
graphics\HydraliskProjectile.png,712,375,89,125,8,
graphics\HydraliskProjectile.png,712,500,89,125,8,
graphics\HydraliskProjectile.png,712,625,89,125,8,
graphics\HydraliskProjectile.png,712,750,89,125,8,
