ID,FPS,LOOPTYPE,FRAME,,,
LurkerMove,10,1,7,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Lurker.png,0,0,72,67,0,
graphics\Enemy\Lurker.png,0,67,72,67,0,
graphics\Enemy\Lurker.png,0,134,72,67,0,
graphics\Enemy\Lurker.png,0,201,72,67,0,
graphics\Enemy\Lurker.png,0,268,72,67,0,
graphics\Enemy\Lurker.png,0,335,72,67,0,
graphics\Enemy\Lurker.png,0,402,72,67,0,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,72,0,72,67,1,
graphics\Enemy\Lurker.png,72,67,72,67,1,
graphics\Enemy\Lurker.png,72,134,72,67,1,
graphics\Enemy\Lurker.png,72,201,72,67,1,
graphics\Enemy\Lurker.png,72,268,72,67,1,
graphics\Enemy\Lurker.png,72,335,72,67,1,
graphics\Enemy\Lurker.png,72,402,72,67,1,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,144,0,72,67,2,
graphics\Enemy\Lurker.png,144,67,72,67,2,
graphics\Enemy\Lurker.png,144,134,72,67,2,
graphics\Enemy\Lurker.png,144,201,72,67,2,
graphics\Enemy\Lurker.png,144,268,72,67,2,
graphics\Enemy\Lurker.png,144,335,72,67,2,
graphics\Enemy\Lurker.png,144,402,72,67,2,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,216,0,72,67,3,
graphics\Enemy\Lurker.png,216,67,72,67,3,
graphics\Enemy\Lurker.png,216,134,72,67,3,
graphics\Enemy\Lurker.png,216,201,72,67,3,
graphics\Enemy\Lurker.png,216,268,72,67,3,
graphics\Enemy\Lurker.png,216,335,72,67,3,
graphics\Enemy\Lurker.png,216,402,72,67,3,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,288,0,72,67,4,
graphics\Enemy\Lurker.png,288,67,72,67,4,
graphics\Enemy\Lurker.png,288,134,72,67,4,
graphics\Enemy\Lurker.png,288,201,72,67,4,
graphics\Enemy\Lurker.png,288,268,72,67,4,
graphics\Enemy\Lurker.png,288,335,72,67,4,
graphics\Enemy\Lurker.png,288,402,72,67,4,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,360,0,72,67,5,
graphics\Enemy\Lurker.png,360,67,72,67,5,
graphics\Enemy\Lurker.png,360,134,72,67,5,
graphics\Enemy\Lurker.png,360,201,72,67,5,
graphics\Enemy\Lurker.png,360,268,72,67,5,
graphics\Enemy\Lurker.png,360,335,72,67,5,
graphics\Enemy\Lurker.png,360,402,72,67,5,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,432,0,72,67,6,
graphics\Enemy\Lurker.png,432,67,72,67,6,
graphics\Enemy\Lurker.png,432,134,72,67,6,
graphics\Enemy\Lurker.png,432,201,72,67,6,
graphics\Enemy\Lurker.png,432,268,72,67,6,
graphics\Enemy\Lurker.png,432,335,72,67,6,
graphics\Enemy\Lurker.png,432,402,72,67,6,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,504,0,72,67,7,
graphics\Enemy\Lurker.png,504,67,72,67,7,
graphics\Enemy\Lurker.png,504,134,72,67,7,
graphics\Enemy\Lurker.png,504,201,72,67,7,
graphics\Enemy\Lurker.png,504,268,72,67,7,
graphics\Enemy\Lurker.png,504,335,72,67,7,
graphics\Enemy\Lurker.png,504,402,72,67,7,
,,,,,,
,,,,,,
graphics\Enemy\Lurker.png,576,0,72,67,8,
graphics\Enemy\Lurker.png,576,67,72,67,8,
graphics\Enemy\Lurker.png,576,134,72,67,8,
graphics\Enemy\Lurker.png,576,201,72,67,8,
graphics\Enemy\Lurker.png,576,268,72,67,8,
graphics\Enemy\Lurker.png,576,335,72,67,8,
graphics\Enemy\Lurker.png,576,402,72,67,8,
