ID,FPS,LOOPTYPE,FRAME,,,
MutaliskMove,5,1,5,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Mutalisk.png,0,0,67,75,0,
graphics\Enemy\Mutalisk.png,0,75,67,75,0,
graphics\Enemy\Mutalisk.png,0,150,67,75,0,
graphics\Enemy\Mutalisk.png,0,225,67,75,0,
graphics\Enemy\Mutalisk.png,0,300,67,75,0,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,67,0,67,75,1,
graphics\Enemy\Mutalisk.png,67,75,67,75,1,
graphics\Enemy\Mutalisk.png,67,150,67,75,1,
graphics\Enemy\Mutalisk.png,67,225,67,75,1,
graphics\Enemy\Mutalisk.png,67,300,67,75,1,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,134,0,67,75,2,
graphics\Enemy\Mutalisk.png,134,75,67,75,2,
graphics\Enemy\Mutalisk.png,134,150,67,75,2,
graphics\Enemy\Mutalisk.png,134,225,67,75,2,
graphics\Enemy\Mutalisk.png,134,300,67,75,2,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,201,0,67,75,3,
graphics\Enemy\Mutalisk.png,201,75,67,75,3,
graphics\Enemy\Mutalisk.png,201,150,67,75,3,
graphics\Enemy\Mutalisk.png,201,225,67,75,3,
graphics\Enemy\Mutalisk.png,201,300,67,75,3,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,268,0,67,75,4,
graphics\Enemy\Mutalisk.png,268,75,67,75,4,
graphics\Enemy\Mutalisk.png,268,150,67,75,4,
graphics\Enemy\Mutalisk.png,268,225,67,75,4,
graphics\Enemy\Mutalisk.png,268,300,67,75,4,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,335,0,67,75,5,
graphics\Enemy\Mutalisk.png,335,75,67,75,5,
graphics\Enemy\Mutalisk.png,335,150,67,75,5,
graphics\Enemy\Mutalisk.png,335,225,67,75,5,
graphics\Enemy\Mutalisk.png,335,300,67,75,5,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,402,0,67,75,6,
graphics\Enemy\Mutalisk.png,402,75,67,75,6,
graphics\Enemy\Mutalisk.png,402,150,67,75,6,
graphics\Enemy\Mutalisk.png,402,225,67,75,6,
graphics\Enemy\Mutalisk.png,402,300,67,75,6,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,469,0,67,75,7,
graphics\Enemy\Mutalisk.png,469,75,67,75,7,
graphics\Enemy\Mutalisk.png,469,150,67,75,7,
graphics\Enemy\Mutalisk.png,469,225,67,75,7,
graphics\Enemy\Mutalisk.png,469,300,67,75,7,
,,,,,,
,,,,,,
graphics\Enemy\Mutalisk.png,536,0,67,75,8,
graphics\Enemy\Mutalisk.png,536,75,67,75,8,
graphics\Enemy\Mutalisk.png,536,150,67,75,8,
graphics\Enemy\Mutalisk.png,536,225,67,75,8,
graphics\Enemy\Mutalisk.png,536,300,67,75,8,
