ID,FPS,LOOPTYPE,FRAME,,,
OverlordMove,10,1,4,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Overlord.png,0,0,66,64,-858993460,
graphics\Enemy\Overlord.png,66,0,66,64,-858993460,
graphics\Enemy\Overlord.png,132,0,66,64,-858993460,
graphics\Enemy\Overlord.png,198,0,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,66,66,64,-858993460,
graphics\Enemy\Overlord.png,66,66,66,64,-858993460,
graphics\Enemy\Overlord.png,132,66,66,64,-858993460,
graphics\Enemy\Overlord.png,198,66,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,132,66,64,-858993460,
graphics\Enemy\Overlord.png,66,132,66,64,-858993460,
graphics\Enemy\Overlord.png,132,132,66,64,-858993460,
graphics\Enemy\Overlord.png,198,132,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,198,66,64,-858993460,
graphics\Enemy\Overlord.png,66,198,66,64,-858993460,
graphics\Enemy\Overlord.png,132,198,66,64,-858993460,
graphics\Enemy\Overlord.png,198,198,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,264,66,64,-858993460,
graphics\Enemy\Overlord.png,66,264,66,64,-858993460,
graphics\Enemy\Overlord.png,132,264,66,64,-858993460,
graphics\Enemy\Overlord.png,198,264,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,330,66,64,-858993460,
graphics\Enemy\Overlord.png,66,330,66,64,-858993460,
graphics\Enemy\Overlord.png,132,330,66,64,-858993460,
graphics\Enemy\Overlord.png,198,330,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,396,66,64,-858993460,
graphics\Enemy\Overlord.png,66,396,66,64,-858993460,
graphics\Enemy\Overlord.png,132,396,66,64,-858993460,
graphics\Enemy\Overlord.png,198,396,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,462,66,64,-858993460,
graphics\Enemy\Overlord.png,66,462,66,64,-858993460,
graphics\Enemy\Overlord.png,132,462,66,64,-858993460,
graphics\Enemy\Overlord.png,198,462,66,64,-858993460,
,,,,,,
,,,,,,
graphics\Enemy\Overlord.png,0,528,66,64,-858993460,
graphics\Enemy\Overlord.png,66,528,66,64,-858993460,
graphics\Enemy\Overlord.png,132,528,66,64,-858993460,
graphics\Enemy\Overlord.png,198,528,66,64,-858993460,
