ID,FPS,LOOPTYPE,FRAME,,,
QueenMove,5,1,5,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Queen.png,0,0,78,71,0,
graphics\Enemy\Queen.png,0,71,78,71,0,
graphics\Enemy\Queen.png,0,142,78,71,0,
graphics\Enemy\Queen.png,0,213,78,71,0,
graphics\Enemy\Queen.png,0,284,78,71,0,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,78,0,78,71,1,
graphics\Enemy\Queen.png,78,71,78,71,1,
graphics\Enemy\Queen.png,78,142,78,71,1,
graphics\Enemy\Queen.png,78,213,78,71,1,
graphics\Enemy\Queen.png,78,284,78,71,1,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,156,0,78,71,2,
graphics\Enemy\Queen.png,156,71,78,71,2,
graphics\Enemy\Queen.png,156,142,78,71,2,
graphics\Enemy\Queen.png,156,213,78,71,2,
graphics\Enemy\Queen.png,156,284,78,71,2,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,234,0,78,71,3,
graphics\Enemy\Queen.png,234,71,78,71,3,
graphics\Enemy\Queen.png,234,142,78,71,3,
graphics\Enemy\Queen.png,234,213,78,71,3,
graphics\Enemy\Queen.png,234,284,78,71,3,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,312,0,78,71,4,
graphics\Enemy\Queen.png,312,71,78,71,4,
graphics\Enemy\Queen.png,312,142,78,71,4,
graphics\Enemy\Queen.png,312,213,78,71,4,
graphics\Enemy\Queen.png,312,284,78,71,4,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,390,0,78,71,5,
graphics\Enemy\Queen.png,390,71,78,71,5,
graphics\Enemy\Queen.png,390,142,78,71,5,
graphics\Enemy\Queen.png,390,213,78,71,5,
graphics\Enemy\Queen.png,390,284,78,71,5,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,468,0,78,71,6,
graphics\Enemy\Queen.png,468,71,78,71,6,
graphics\Enemy\Queen.png,468,142,78,71,6,
graphics\Enemy\Queen.png,468,213,78,71,6,
graphics\Enemy\Queen.png,468,284,78,71,6,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,546,0,78,71,7,
graphics\Enemy\Queen.png,546,71,78,71,7,
graphics\Enemy\Queen.png,546,142,78,71,7,
graphics\Enemy\Queen.png,546,213,78,71,7,
graphics\Enemy\Queen.png,546,284,78,71,7,
,,,,,,
,,,,,,
graphics\Enemy\Queen.png,624,0,78,71,8,
graphics\Enemy\Queen.png,624,71,78,71,8,
graphics\Enemy\Queen.png,624,142,78,71,8,
graphics\Enemy\Queen.png,624,213,78,71,8,
graphics\Enemy\Queen.png,624,284,78,71,8,
