ID,FPS,LOOPTYPE,FRAME,,,
ScourgeMove,5,1,5,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Scourge.png,0,0,34,30,0,
graphics\Enemy\Scourge.png,0,30,34,30,0,
graphics\Enemy\Scourge.png,0,60,34,30,0,
graphics\Enemy\Scourge.png,0,90,34,30,0,
graphics\Enemy\Scourge.png,0,120,34,30,0,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,34,0,34,30,1,
graphics\Enemy\Scourge.png,34,30,34,30,1,
graphics\Enemy\Scourge.png,34,60,34,30,1,
graphics\Enemy\Scourge.png,34,90,34,30,1,
graphics\Enemy\Scourge.png,34,120,34,30,1,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,68,0,34,30,2,
graphics\Enemy\Scourge.png,68,30,34,30,2,
graphics\Enemy\Scourge.png,68,60,34,30,2,
graphics\Enemy\Scourge.png,68,90,34,30,2,
graphics\Enemy\Scourge.png,68,120,34,30,2,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,102,0,34,30,3,
graphics\Enemy\Scourge.png,102,30,34,30,3,
graphics\Enemy\Scourge.png,102,60,34,30,3,
graphics\Enemy\Scourge.png,102,90,34,30,3,
graphics\Enemy\Scourge.png,102,120,34,30,3,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,136,0,34,30,4,
graphics\Enemy\Scourge.png,136,30,34,30,4,
graphics\Enemy\Scourge.png,136,60,34,30,4,
graphics\Enemy\Scourge.png,136,90,34,30,4,
graphics\Enemy\Scourge.png,136,120,34,30,4,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,170,0,34,30,5,
graphics\Enemy\Scourge.png,170,30,34,30,5,
graphics\Enemy\Scourge.png,170,60,34,30,5,
graphics\Enemy\Scourge.png,170,90,34,30,5,
graphics\Enemy\Scourge.png,170,120,34,30,5,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,204,0,34,30,6,
graphics\Enemy\Scourge.png,204,30,34,30,6,
graphics\Enemy\Scourge.png,204,60,34,30,6,
graphics\Enemy\Scourge.png,204,90,34,30,6,
graphics\Enemy\Scourge.png,204,120,34,30,6,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,238,0,34,30,7,
graphics\Enemy\Scourge.png,238,30,34,30,7,
graphics\Enemy\Scourge.png,238,60,34,30,7,
graphics\Enemy\Scourge.png,238,90,34,30,7,
graphics\Enemy\Scourge.png,238,120,34,30,7,
,,,,,,
,,,,,,
graphics\Enemy\Scourge.png,272,0,34,30,8,
graphics\Enemy\Scourge.png,272,30,34,30,8,
graphics\Enemy\Scourge.png,272,60,34,30,8,
graphics\Enemy\Scourge.png,272,90,34,30,8,
graphics\Enemy\Scourge.png,272,120,34,30,8,
