ID,FPS,LOOPTYPE,FRAME,,,
CivilianMove,50,1,8,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Terran Civilian.png,0,0,24,35,0,
graphics\Terran Civilian.png,0,35,24,35,0,
graphics\Terran Civilian.png,0,70,24,35,0,
graphics\Terran Civilian.png,0,105,24,35,0,
graphics\Terran Civilian.png,0,140,24,35,0,
graphics\Terran Civilian.png,0,175,24,35,0,
graphics\Terran Civilian.png,0,210,24,35,0,
graphics\Terran Civilian.png,0,245,24,35,0,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,24,0,24,35,1,
graphics\Terran Civilian.png,24,35,24,35,1,
graphics\Terran Civilian.png,24,70,24,35,1,
graphics\Terran Civilian.png,24,105,24,35,1,
graphics\Terran Civilian.png,24,140,24,35,1,
graphics\Terran Civilian.png,24,175,24,35,1,
graphics\Terran Civilian.png,24,210,24,35,1,
graphics\Terran Civilian.png,24,245,24,35,1,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,48,0,24,35,2,
graphics\Terran Civilian.png,48,35,24,35,2,
graphics\Terran Civilian.png,48,70,24,35,2,
graphics\Terran Civilian.png,48,105,24,35,2,
graphics\Terran Civilian.png,48,140,24,35,2,
graphics\Terran Civilian.png,48,175,24,35,2,
graphics\Terran Civilian.png,48,210,24,35,2,
graphics\Terran Civilian.png,48,245,24,35,2,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,72,0,24,35,3,
graphics\Terran Civilian.png,72,35,24,35,3,
graphics\Terran Civilian.png,72,70,24,35,3,
graphics\Terran Civilian.png,72,105,24,35,3,
graphics\Terran Civilian.png,72,140,24,35,3,
graphics\Terran Civilian.png,72,175,24,35,3,
graphics\Terran Civilian.png,72,210,24,35,3,
graphics\Terran Civilian.png,72,245,24,35,3,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,96,0,24,35,4,
graphics\Terran Civilian.png,96,35,24,35,4,
graphics\Terran Civilian.png,96,70,24,35,4,
graphics\Terran Civilian.png,96,105,24,35,4,
graphics\Terran Civilian.png,96,140,24,35,4,
graphics\Terran Civilian.png,96,175,24,35,4,
graphics\Terran Civilian.png,96,210,24,35,4,
graphics\Terran Civilian.png,96,245,24,35,4,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,120,0,24,35,5,
graphics\Terran Civilian.png,120,35,24,35,5,
graphics\Terran Civilian.png,120,70,24,35,5,
graphics\Terran Civilian.png,120,105,24,35,5,
graphics\Terran Civilian.png,120,140,24,35,5,
graphics\Terran Civilian.png,120,175,24,35,5,
graphics\Terran Civilian.png,120,210,24,35,5,
graphics\Terran Civilian.png,120,245,24,35,5,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,144,0,24,35,6,
graphics\Terran Civilian.png,144,35,24,35,6,
graphics\Terran Civilian.png,144,70,24,35,6,
graphics\Terran Civilian.png,144,105,24,35,6,
graphics\Terran Civilian.png,144,140,24,35,6,
graphics\Terran Civilian.png,144,175,24,35,6,
graphics\Terran Civilian.png,144,210,24,35,6,
graphics\Terran Civilian.png,144,245,24,35,6,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,168,0,24,35,7,
graphics\Terran Civilian.png,168,35,24,35,7,
graphics\Terran Civilian.png,168,70,24,35,7,
graphics\Terran Civilian.png,168,105,24,35,7,
graphics\Terran Civilian.png,168,140,24,35,7,
graphics\Terran Civilian.png,168,175,24,35,7,
graphics\Terran Civilian.png,168,210,24,35,7,
graphics\Terran Civilian.png,168,245,24,35,7,
,,,,,,
,,,,,,
graphics\Terran Civilian.png,192,0,24,35,8,
graphics\Terran Civilian.png,192,35,24,35,8,
graphics\Terran Civilian.png,192,70,24,35,8,
graphics\Terran Civilian.png,192,105,24,35,8,
graphics\Terran Civilian.png,192,140,24,35,8,
graphics\Terran Civilian.png,192,175,24,35,8,
graphics\Terran Civilian.png,192,210,24,35,8,
graphics\Terran Civilian.png,192,245,24,35,8,
