ID,FPS,LOOPTYPE,FRAME,,,
UltraliskMove,10,1,9,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Ultralisk.png,0,0,101,108,0,
graphics\Enemy\Ultralisk.png,0,108,101,108,0,
graphics\Enemy\Ultralisk.png,0,216,101,108,0,
graphics\Enemy\Ultralisk.png,0,324,101,108,0,
graphics\Enemy\Ultralisk.png,0,432,101,108,0,
graphics\Enemy\Ultralisk.png,0,540,101,108,0,
graphics\Enemy\Ultralisk.png,0,648,101,108,0,
graphics\Enemy\Ultralisk.png,0,756,101,108,0,
graphics\Enemy\Ultralisk.png,0,864,101,108,0,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,101,0,101,108,1,
graphics\Enemy\Ultralisk.png,101,108,101,108,1,
graphics\Enemy\Ultralisk.png,101,216,101,108,1,
graphics\Enemy\Ultralisk.png,101,324,101,108,1,
graphics\Enemy\Ultralisk.png,101,432,101,108,1,
graphics\Enemy\Ultralisk.png,101,540,101,108,1,
graphics\Enemy\Ultralisk.png,101,648,101,108,1,
graphics\Enemy\Ultralisk.png,101,756,101,108,1,
graphics\Enemy\Ultralisk.png,101,864,101,108,1,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,202,0,101,108,2,
graphics\Enemy\Ultralisk.png,202,108,101,108,2,
graphics\Enemy\Ultralisk.png,202,216,101,108,2,
graphics\Enemy\Ultralisk.png,202,324,101,108,2,
graphics\Enemy\Ultralisk.png,202,432,101,108,2,
graphics\Enemy\Ultralisk.png,202,540,101,108,2,
graphics\Enemy\Ultralisk.png,202,648,101,108,2,
graphics\Enemy\Ultralisk.png,202,756,101,108,2,
graphics\Enemy\Ultralisk.png,202,864,101,108,2,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,303,0,101,108,3,
graphics\Enemy\Ultralisk.png,303,108,101,108,3,
graphics\Enemy\Ultralisk.png,303,216,101,108,3,
graphics\Enemy\Ultralisk.png,303,324,101,108,3,
graphics\Enemy\Ultralisk.png,303,432,101,108,3,
graphics\Enemy\Ultralisk.png,303,540,101,108,3,
graphics\Enemy\Ultralisk.png,303,648,101,108,3,
graphics\Enemy\Ultralisk.png,303,756,101,108,3,
graphics\Enemy\Ultralisk.png,303,864,101,108,3,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,404,0,101,108,4,
graphics\Enemy\Ultralisk.png,404,108,101,108,4,
graphics\Enemy\Ultralisk.png,404,216,101,108,4,
graphics\Enemy\Ultralisk.png,404,324,101,108,4,
graphics\Enemy\Ultralisk.png,404,432,101,108,4,
graphics\Enemy\Ultralisk.png,404,540,101,108,4,
graphics\Enemy\Ultralisk.png,404,648,101,108,4,
graphics\Enemy\Ultralisk.png,404,756,101,108,4,
graphics\Enemy\Ultralisk.png,404,864,101,108,4,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,505,0,101,108,5,
graphics\Enemy\Ultralisk.png,505,108,101,108,5,
graphics\Enemy\Ultralisk.png,505,216,101,108,5,
graphics\Enemy\Ultralisk.png,505,324,101,108,5,
graphics\Enemy\Ultralisk.png,505,432,101,108,5,
graphics\Enemy\Ultralisk.png,505,540,101,108,5,
graphics\Enemy\Ultralisk.png,505,648,101,108,5,
graphics\Enemy\Ultralisk.png,505,756,101,108,5,
graphics\Enemy\Ultralisk.png,505,864,101,108,5,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,606,0,101,108,6,
graphics\Enemy\Ultralisk.png,606,108,101,108,6,
graphics\Enemy\Ultralisk.png,606,216,101,108,6,
graphics\Enemy\Ultralisk.png,606,324,101,108,6,
graphics\Enemy\Ultralisk.png,606,432,101,108,6,
graphics\Enemy\Ultralisk.png,606,540,101,108,6,
graphics\Enemy\Ultralisk.png,606,648,101,108,6,
graphics\Enemy\Ultralisk.png,606,756,101,108,6,
graphics\Enemy\Ultralisk.png,606,864,101,108,6,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,707,0,101,108,7,
graphics\Enemy\Ultralisk.png,707,108,101,108,7,
graphics\Enemy\Ultralisk.png,707,216,101,108,7,
graphics\Enemy\Ultralisk.png,707,324,101,108,7,
graphics\Enemy\Ultralisk.png,707,432,101,108,7,
graphics\Enemy\Ultralisk.png,707,540,101,108,7,
graphics\Enemy\Ultralisk.png,707,648,101,108,7,
graphics\Enemy\Ultralisk.png,707,756,101,108,7,
graphics\Enemy\Ultralisk.png,707,864,101,108,7,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,808,0,101,108,8,
graphics\Enemy\Ultralisk.png,808,108,101,108,8,
graphics\Enemy\Ultralisk.png,808,216,101,108,8,
graphics\Enemy\Ultralisk.png,808,324,101,108,8,
graphics\Enemy\Ultralisk.png,808,432,101,108,8,
graphics\Enemy\Ultralisk.png,808,540,101,108,8,
graphics\Enemy\Ultralisk.png,808,648,101,108,8,
graphics\Enemy\Ultralisk.png,808,756,101,108,8,
graphics\Enemy\Ultralisk.png,808,864,101,108,8,
,,,,,,
,,,,,,
graphics\Enemy\Ultralisk.png,909,0,101,108,9,
graphics\Enemy\Ultralisk.png,909,108,101,108,9,
graphics\Enemy\Ultralisk.png,909,216,101,108,9,
graphics\Enemy\Ultralisk.png,909,324,101,108,9,
graphics\Enemy\Ultralisk.png,909,432,101,108,9,
graphics\Enemy\Ultralisk.png,909,540,101,108,9,
graphics\Enemy\Ultralisk.png,909,648,101,108,9,
graphics\Enemy\Ultralisk.png,909,756,101,108,9,
graphics\Enemy\Ultralisk.png,909,864,101,108,9,
