ID,FPS,LOOPTYPE,FRAME,,,
ZealotMove,8,1,8,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\Enemy\Zealot.png,0,0,41,44,0,
graphics\Enemy\Zealot.png,0,44,41,44,0,
graphics\Enemy\Zealot.png,0,88,41,44,0,
graphics\Enemy\Zealot.png,0,132,41,44,0,
graphics\Enemy\Zealot.png,0,176,41,44,0,
graphics\Enemy\Zealot.png,0,220,41,44,0,
graphics\Enemy\Zealot.png,0,264,41,44,0,
graphics\Enemy\Zealot.png,0,308,41,44,0,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,41,0,41,44,1,
graphics\Enemy\Zealot.png,41,44,41,44,1,
graphics\Enemy\Zealot.png,41,88,41,44,1,
graphics\Enemy\Zealot.png,41,132,41,44,1,
graphics\Enemy\Zealot.png,41,176,41,44,1,
graphics\Enemy\Zealot.png,41,220,41,44,1,
graphics\Enemy\Zealot.png,41,264,41,44,1,
graphics\Enemy\Zealot.png,41,308,41,44,1,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,82,0,41,44,2,
graphics\Enemy\Zealot.png,82,44,41,44,2,
graphics\Enemy\Zealot.png,82,88,41,44,2,
graphics\Enemy\Zealot.png,82,132,41,44,2,
graphics\Enemy\Zealot.png,82,176,41,44,2,
graphics\Enemy\Zealot.png,82,220,41,44,2,
graphics\Enemy\Zealot.png,82,264,41,44,2,
graphics\Enemy\Zealot.png,82,308,41,44,2,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,123,0,41,44,3,
graphics\Enemy\Zealot.png,123,44,41,44,3,
graphics\Enemy\Zealot.png,123,88,41,44,3,
graphics\Enemy\Zealot.png,123,132,41,44,3,
graphics\Enemy\Zealot.png,123,176,41,44,3,
graphics\Enemy\Zealot.png,123,220,41,44,3,
graphics\Enemy\Zealot.png,123,264,41,44,3,
graphics\Enemy\Zealot.png,123,308,41,44,3,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,164,0,41,44,4,
graphics\Enemy\Zealot.png,164,44,41,44,4,
graphics\Enemy\Zealot.png,164,88,41,44,4,
graphics\Enemy\Zealot.png,164,132,41,44,4,
graphics\Enemy\Zealot.png,164,176,41,44,4,
graphics\Enemy\Zealot.png,164,220,41,44,4,
graphics\Enemy\Zealot.png,164,264,41,44,4,
graphics\Enemy\Zealot.png,164,308,41,44,4,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,205,0,41,44,5,
graphics\Enemy\Zealot.png,205,44,41,44,5,
graphics\Enemy\Zealot.png,205,88,41,44,5,
graphics\Enemy\Zealot.png,205,132,41,44,5,
graphics\Enemy\Zealot.png,205,176,41,44,5,
graphics\Enemy\Zealot.png,205,220,41,44,5,
graphics\Enemy\Zealot.png,205,264,41,44,5,
graphics\Enemy\Zealot.png,205,308,41,44,5,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,246,0,41,44,6,
graphics\Enemy\Zealot.png,246,44,41,44,6,
graphics\Enemy\Zealot.png,246,88,41,44,6,
graphics\Enemy\Zealot.png,246,132,41,44,6,
graphics\Enemy\Zealot.png,246,176,41,44,6,
graphics\Enemy\Zealot.png,246,220,41,44,6,
graphics\Enemy\Zealot.png,246,264,41,44,6,
graphics\Enemy\Zealot.png,246,308,41,44,6,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,287,0,41,44,7,
graphics\Enemy\Zealot.png,287,44,41,44,7,
graphics\Enemy\Zealot.png,287,88,41,44,7,
graphics\Enemy\Zealot.png,287,132,41,44,7,
graphics\Enemy\Zealot.png,287,176,41,44,7,
graphics\Enemy\Zealot.png,287,220,41,44,7,
graphics\Enemy\Zealot.png,287,264,41,44,7,
graphics\Enemy\Zealot.png,287,308,41,44,7,
,,,,,,
,,,,,,
graphics\Enemy\Zealot.png,328,0,41,44,8,
graphics\Enemy\Zealot.png,328,44,41,44,8,
graphics\Enemy\Zealot.png,328,88,41,44,8,
graphics\Enemy\Zealot.png,328,132,41,44,8,
graphics\Enemy\Zealot.png,328,176,41,44,8,
graphics\Enemy\Zealot.png,328,220,41,44,8,
graphics\Enemy\Zealot.png,328,264,41,44,8,
graphics\Enemy\Zealot.png,328,308,41,44,8,
