ID,FPS,LOOPTYPE,FRAME,,,
EnemyMovingCursor,10,1,14,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\UI\EnemyMovingCursor.png,0,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,44,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,88,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,132,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,176,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,220,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,264,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,308,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,352,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,396,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,440,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,484,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,528,0,41,43,0,
graphics\UI\EnemyMovingCursor.png,572,0,41,43,0,
