ID,FPS,LOOPTYPE,FRAME,,,
MovingCursor,10,1,14,,,
,,,,,,
TEXTURE,X,Y,WIDTH,HEIGHT,ANGLE,ORIGIN
graphics\UI\MovingCursor.png,0,0,41,43,0,
graphics\UI\MovingCursor.png,44,0,41,43,0,
graphics\UI\MovingCursor.png,88,0,41,43,0,
graphics\UI\MovingCursor.png,132,0,41,43,0,
graphics\UI\MovingCursor.png,176,0,41,43,0,
graphics\UI\MovingCursor.png,220,0,41,43,0,
graphics\UI\MovingCursor.png,264,0,41,43,0,
graphics\UI\MovingCursor.png,308,0,41,43,0,
graphics\UI\MovingCursor.png,352,0,41,43,0,
graphics\UI\MovingCursor.png,396,0,41,43,0,
graphics\UI\MovingCursor.png,440,0,41,43,0,
graphics\UI\MovingCursor.png,484,0,41,43,0,
graphics\UI\MovingCursor.png,528,0,41,43,0,
graphics\UI\MovingCursor.png,572,0,41,43,0,
